gcp_id,height_offset_m,rpc_col,rpc_row,rpc_error_px,rpc_error_m,gt_used_for_rpc_projection
gf7_esri_0175,-50.0,8722.87601037072,14358.224614473067,8.665078524438906,5.600212277782972,False
gf7_esri_0176,-50.0,4194.488213632023,9948.938203330668,10.255587852621176,6.628208801490704,False
gf7_esri_0177,-50.0,12982.477290523306,9537.342354380631,10.145895204533325,6.557168282742395,False
gf7_esri_0180,-50.0,9151.967411847541,10062.967090014561,12.522830785620634,8.093418216307414,False
gf7_esri_0001,-20.0,1308.2020319441963,6534.820704260257,9.11490167980066,5.891028662256179,False
gf7_esri_0002,-20.0,5120.86063349426,4942.600517912217,8.165908966202021,5.277612189688042,False
gf7_esri_0004,-20.0,1427.2373662094615,6605.634938379735,9.106065261147924,5.885326670346591,False
gf7_esri_0005,-20.0,8831.204199437125,9985.315796508885,8.01010753081654,5.176873648693631,False
gf7_esri_0006,-20.0,12657.868692631768,9414.731262822914,12.37640066126752,7.998730848283099,False
gf7_esri_0008,-20.0,16517.921925840204,14357.269210603707,8.466739896035412,5.471947469686918,False
gf7_esri_0011,-20.0,8801.721144226472,9525.72563523854,6.637063469615923,4.289474137582827,False
gf7_esri_0014,-20.0,12900.951693314317,14910.600911258847,6.698575991562196,4.3292280426954015,False
gf7_esri_0015,-20.0,8295.52188485999,1228.5889895350556,7.258865144825052,4.691337880487204,False
gf7_esri_0017,-20.0,8896.955819965935,9844.805651781542,8.00730698662855,5.175061894558966,False
gf7_esri_0018,-20.0,12564.247370758017,9536.81746301824,11.848107995054368,7.657304226949481,False
gf7_esri_0019,-20.0,8714.692642013062,13649.919813960572,8.796893675186942,5.685380678755103,False
gf7_esri_0020,-20.0,10785.801978121644,13804.126658937506,7.59377630724602,4.907795609223702,False
gf7_esri_0022,-20.0,1129.425029425458,7668.8149046490325,9.119060987448732,5.893744657259415,False
gf7_esri_0023,-20.0,8749.051647537486,9687.888001047324,10.393389425157046,6.717164075846028,False
gf7_esri_0024,-20.0,12728.75750252575,9299.365173260578,12.657556700344802,8.180436183932214,False
gf7_esri_0026,-20.0,16198.905557670063,14513.74959056226,8.4802069980714,5.480648251042689,False
gf7_esri_0028,-20.0,2070.8236462299756,8823.577029176275,7.969922221876933,5.150989648750859,False
gf7_esri_0032,-20.0,14452.140357451177,15213.4771407048,7.77194086504009,5.022919782989286,False
gf7_esri_0034,-20.0,8632.270834451607,10048.493142485808,8.018434977882618,5.182255112132044,False
gf7_esri_0035,-20.0,12842.224600454196,9356.431682676151,8.622177078047555,5.572414851941761,False
gf7_esri_0036,-20.0,9113.641190579212,13779.612410225818,8.780145669827643,5.674579229522923,False
gf7_esri_0037,-20.0,13014.6046179669,15060.26199425602,7.831722121290381,5.061572531206153,False
gf7_esri_0038,-20.0,8727.87650480921,1336.6273243795476,9.97830776450131,6.448881346791033,False
gf7_esri_0039,-20.0,8793.40623276587,10202.727250459428,8.011768122352448,5.177951630268384,False
gf7_esri_0040,-20.0,14660.402471780659,5880.657105834716,8.544282738350237,5.52202583484845,False
gf7_esri_0041,-20.0,8834.20508383304,14144.840598447896,13.40470693024271,8.663393044628357,False
gf7_esri_0042,-20.0,16076.341330499232,14587.427552106823,8.485381775869968,5.48399363547953,False
gf7_esri_0046,-20.0,9207.563617602598,13908.70255553299,7.992746327190973,5.165667967552134,False
gf7_esri_0047,-20.0,13640.503166788812,11002.058081721683,8.585713443754946,5.548846690935912,False
