method,method_label_cn,split,bias_model,requested_gcp_count,used_gcp_count,icp_count,selection,rmse_x_px,rmse_y_px,rmse_2d_px,median_error_px,p90_error_px,p95_error_px,rmse_2d_m,median_error_m,ce90_m,p95_error_m
raw_scharr_ncc,原始 Scharr NCC,1,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.4485028307373926,1.5796094014557427,2.913817422780019,1.2837473659220784,2.9238426461613374,3.1154236463158678,1.8831678436613049,0.8296773167523724,1.8896677903892254,2.013466076482343
raw_scharr_ncc,原始 Scharr NCC,1,affine,50,50,24,spatial_farthest_with_margin_tiebreak,2.389743816981746,1.5860257632279147,2.868161995499064,1.2439687425862656,2.875174763180569,3.353451715716062,1.8536610813079417,0.8039631418520945,1.8582139711216248,2.1673009308547986
raw_scharr_ncc,原始 Scharr NCC,2,translation,5,5,24,spatial_farthest_with_margin_tiebreak,1.929766657686369,1.7338771166056195,2.5942878037347046,1.1679628358977323,2.379519051020823,2.585106171443826,1.6766673848902456,0.7548445543204589,1.5378679467693706,1.670728231608287
raw_scharr_ncc,原始 Scharr NCC,2,translation,10,10,24,spatial_farthest_with_margin_tiebreak,1.8408508299610418,1.77823055661717,2.5594600388861846,0.9680588586258603,2.1575173741458844,2.5143412530004294,1.6541585049063068,0.625650513804663,1.3943845621819952,1.6250005164678603
raw_scharr_ncc,原始 Scharr NCC,2,translation,20,20,24,spatial_farthest_with_margin_tiebreak,1.8019986856644121,1.8027418070460148,2.548936500976005,0.9139517505423476,2.102617458177877,2.486271260829264,1.6473572834810444,0.590688780813099,1.3589094392626977,1.6068613046786606
raw_scharr_ncc,原始 Scharr NCC,2,translation,50,50,24,spatial_farthest_with_margin_tiebreak,1.781903340280106,1.752137529929367,2.4990329005213967,0.8349104915201498,2.1903379631546467,2.294920268796108,1.6151050583108872,0.5395972941735683,1.4155967105222298,1.4831902515157227
raw_scharr_ncc,原始 Scharr NCC,2,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.044021560577719,1.7141104874896482,2.667620457154386,1.097519832665263,2.2159944579253175,2.4259708908323865,1.7240616296447329,0.7093250756173262,1.4321770645932415,1.5678873483244649
raw_scharr_ncc,原始 Scharr NCC,2,affine,10,10,24,spatial_farthest_with_margin_tiebreak,1.9542533903050479,1.727297712970163,2.60819165376142,1.083638569131736,2.0510672444033213,2.490881781018865,1.6856533190818792,0.7003427554431652,1.3255894726654285,1.6098402948880903
raw_scharr_ncc,原始 Scharr NCC,2,affine,20,20,24,spatial_farthest_with_margin_tiebreak,1.8517245916919374,1.7807294654707617,2.5690234317095006,1.0013213926681743,2.055347807880531,2.46095451470012,1.6603393282962318,0.6471476615556502,1.328362049458427,1.590499244006868
raw_scharr_ncc,原始 Scharr NCC,2,affine,50,50,24,spatial_farthest_with_margin_tiebreak,1.7193917326797825,1.7617102038906276,2.4616926641845325,0.8598457763712983,2.2401009665794596,2.2863444811825926,1.5909723692816737,0.5557185456559395,1.4477580616162602,1.4776477426091617
