method,method_label_cn,split,bias_model,gcp_count,icp_count,gcp_ransac_inlier_count,gcp_ransac_inlier_ratio,geometrically_verified_reuse_rate,before_rmse_x_px,before_rmse_y_px,before_rmse_2d_px,before_median_error_px,before_p90_error_px,before_p95_error_px,before_rmse_2d_m,before_median_error_m,before_ce90_m,before_p95_error_m,after_rmse_x_px,after_rmse_y_px,after_rmse_2d_px,after_median_error_px,after_p90_error_px,after_p95_error_px,after_rmse_2d_m,after_median_error_m,after_ce90_m,after_p95_error_m,parameters,split_uses_rpc_coordinates_only,icp_not_used_for_bias_fit
compact_64B_orientation_l1,64 B 方向空间码 / L1,2,affine,100,24,21,0.21,0.1693548387096774,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,2.202702902011738,5.405781313022081,5.837325730053932,3.833532583223298,9.833782729234214,10.771671855180998,3.772626785536286,2.4775934248793243,6.355560477265822,6.961814975455374,"{""kind"":""affine"",""coefficients"":[[-8.945013041588437,-0.13819582234536365],[-5.876412030057782,-25.873252143660707],[1.0079496641667607,8.243795514634051]],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,translation,100,24,15,0.15,0.12096774193548387,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,1.902267716501409,2.319982599405245,3.0001569503588645,2.485306611138018,4.229049218271998,4.400811685400384,1.9389787805883267,1.6062297537846861,2.733190253346317,2.8442181470825094,"{""kind"":""translation"",""coefficients"":[-8.629748849678549,-0.08074261731794],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,affine,100,24,23,0.23,0.18548387096774194,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,2.6864513446854077,6.669756687781621,7.190457224792433,7.130210763121637,8.78886293047417,9.051890822331332,4.647138557042574,4.6081905683232325,5.68018819066945,5.850177320762165,"{""kind"":""affine"",""coefficients"":[[-10.06073186290321,-4.761453295166646],[1.213356320767275,1.1551761923365202],[-1.9294449443283042,-2.462714071013023]],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,translation,100,24,16,0.16,0.12903225806451613,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,1.8376597662065373,2.3297011991465033,2.967237957029891,2.624388530422939,4.081948232901444,4.291394875266663,1.9177036634133258,1.696121205598876,2.638116862792432,2.773502704925714,"{""kind"":""translation"",""coefficients"":[-8.770774782311598,-0.12294874401450215],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,affine,100,24,25,0.25,0.20161290322580644,8.338431391182128,2.231240201099444,8.631794187795132,8.018193854103192,11.499422351264123,12.242625172517492,5.578661751522963,5.182158703742508,7.432016775369327,7.912283626442942,2.186421512950689,4.97651161089783,5.435633067609927,3.713855094534387,8.25944178279903,9.182764891670361,3.5130006876033635,2.400256117299656,5.338056177311111,5.934720684331148,"{""kind"":""affine"",""coefficients"":[[-9.193760831463901,0.30948786376384335],[-5.242394149585516,-21.8157324677022],[0.22054713484257846,8.262784237314875]],""centre"":[10093.949872383686,10455.975970022886],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,0,translation,100,24,23,0.23,0.18548387096774194,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,8.198367125840075,5.676687068912437,9.971860388533974,10.292679375873771,11.178440190384098,11.25251655671812,6.444744066098641,6.652056098349236,7.224609242490032,7.272477419855683,"{""kind"":""translation"",""coefficients"":[-16.075467397049817,-4.055940084652943],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,0,affine,100,24,25,0.25,0.20161290322580644,8.17818338082941,2.0687489967833104,8.435781281076833,8.045778673328279,10.643970835394429,11.597802887281816,5.4519857066810395,5.199899503796688,6.87910502005879,7.495595712022296,8.821737723960306,6.281132592250208,10.829389784829623,10.872462548532624,13.713628271548151,14.39191358980468,6.998947377952966,7.0267722970707,8.86295983491059,9.30135150202423,"{""kind"":""affine"",""coefficients"":[[-16.621713644634383,-4.512433335006338],[-2.5364868111293446,-8.233814647472364],[4.863384340034433,3.621768817595391]],""centre"":[10106.673931278063,10419.802665420139],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,1,translation,100,24,27,0.27,0.21774193548387097,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,8.630811389599312,6.1253316887019595,10.583505730118617,10.611091977316939,12.503941603292184,12.623994905718632,6.840045549464441,6.857823907098041,8.08117247421731,8.158734499163682,"{""kind"":""translation"",""coefficients"":[-16.32862770964527,-4.2498358208691505],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,1,affine,100,24,30,0.3,0.24193548387096775,8.395575231953076,2.2954639273083877,8.703725530883771,8.405634546159241,9.28248633257924,10.751221568040233,5.6251464791708905,5.4324798712571045,5.999178568611355,6.948396432599555,9.285167778503498,7.549827492459475,11.967215041138708,11.589722343753564,16.038479999283535,16.304100179851748,7.7342976153712115,7.49032422057295,10.365430754088806,10.537130148973707,"{""kind"":""affine"",""coefficients"":[[-17.111822238074733,-5.723701390070411],[-8.436885898549304,-7.972596003147936],[4.565991428083348,3.1958670624348984]],""centre"":[10106.710274662273,10383.59344540793],""scale"":[15210.365471710013,14212.10636526954]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,2,translation,100,24,24,0.24,0.1935483870967742,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,8.338908814813873,5.914009512493318,10.223155517531852,10.286902346740941,11.65856111113604,11.890992512571925,6.607153604107621,6.648306808879346,7.534878422477031,7.685060316645241,"{""kind"":""translation"",""coefficients"":[-16.007803974195213,-4.146461080310615],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,2,affine,100,24,25,0.25,0.20161290322580644,8.056684260676064,2.287942368107579,8.375251730903804,8.018193854103192,9.098723211560976,9.455432296372127,5.41286346734223,5.182158703742508,5.880436363509124,6.110949688420141,8.788752813658403,6.378073644948982,10.859189630906226,9.888228933887302,14.830922017424665,17.515975936205194,7.018246706325025,6.390695153076869,9.585128447472387,11.320618628251195,"{""kind"":""affine"",""coefficients"":[[-15.515912773423716,-4.1623540203206115],[10.85126422697715,6.648453854565008],[5.781925269662461,2.531152607001129]],""centre"":[10158.670821099608,10449.704565449598],""scale"":[15389.150055266278,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,3,translation,100,24,24,0.24,0.1935483870967742,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,8.32500701414872,6.171898061311978,10.363303887508653,10.858988050797194,11.513262529680889,12.311615930661203,6.697722242362991,7.018048538794375,7.441035693564501,7.956933401516195,"{""kind"":""translation"",""coefficients"":[-16.27502355978595,-4.225168843082798],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,3,affine,100,24,25,0.25,0.20161290322580644,8.36196187380896,2.255262060191252,8.66075131493641,8.405223472840483,11.51185862442593,12.242625172517492,5.5973711211298065,5.432227570827489,7.440034129271362,7.912283626442942,9.034143625110909,6.881664034056678,11.356630262395678,11.212249839447153,14.680410594906384,17.313651607663147,7.339721268087738,7.246398379880261,9.48782777663877,11.189825767725498,"{""kind"":""affine"",""coefficients"":[[-16.130955655662927,-4.650451165962741],[14.043699033474088,8.092886692984218],[2.47814703111093,0.6151691275059528]],""centre"":[10068.279649422473,10467.183462981986],""scale"":[15540.494999322784,14336.889124427942]}",True,True
