method,model,threshold_px,scene_count,total_matches,raw_inlier_ratio,ransac_inlier_ratio,raw_rmse_px,reprojection_rmse_px,reprojection_p95_px,rejected_catastrophic_matches,catastrophic_matches,scene_success_count,scene_success_rate,minimum_scene_matches
rank_transform_g16_b1_median_uniform_hamming_r64,affine,0.5,3,753,0.7184594953519257,0.650730411686587,11.328422442683799,11.033289192813733,2.5843428270882685,43,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,affine,1.0,3,753,0.8844621513944223,0.8339973439575034,11.328422442683799,11.035687148820125,2.8197316231852727,43,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,affine,2.0,3,753,0.9203187250996016,0.9216467463479415,11.328422442683799,1076.070486738209,307.41044373372716,42,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,affine,3.0,3,753,0.9243027888446215,0.9282868525896414,11.328422442683799,1076.0704878305073,307.4181006483233,42,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,homography,0.5,3,753,0.7184594953519257,0.703851261620186,11.328422442683799,8.021661821389785,2.4958929754825143,43,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,homography,1.0,3,753,0.8844621513944223,0.8764940239043825,11.328422442683799,8.03187765084381,2.6796127064589528,43,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,homography,2.0,3,753,0.9203187250996016,0.9216467463479415,11.328422442683799,1982.8630530265207,328.34712057173857,44,46,2,0.6666666666666666,10
rank_transform_g16_b1_median_uniform_hamming_r64,homography,3.0,3,753,0.9243027888446215,0.9282868525896414,11.328422442683799,3201.5530058390655,528.0527858468577,41,46,2,0.6666666666666666,10
raw_ncc,translation,0.5,3,753,0.99867197875166,0.9920318725099602,0.07949177921257199,0.10200494120543721,0.17731698560219278,0,0,3,1.0,10
raw_ncc,translation,1.0,3,753,1.0,0.99867197875166,0.07949177921257199,0.10177140496818564,0.1770074190657512,0,0,3,1.0,10
raw_ncc,translation,2.0,3,753,1.0,1.0,0.07949177921257199,0.10217235913130138,0.17733335690938484,0,0,3,1.0,10
raw_ncc,translation,3.0,3,753,1.0,1.0,0.07949177921257199,0.10217235913130138,0.17733335690938484,0,0,3,1.0,10
raw_ncc,affine,0.5,3,753,0.99867197875166,0.9920318725099602,0.07949177921257199,0.12043031089614606,0.21826127669658535,0,0,3,1.0,10
raw_ncc,affine,1.0,3,753,1.0,0.99867197875166,0.07949177921257199,0.13050967326452045,0.23967424930087297,0,0,3,1.0,10
raw_ncc,affine,2.0,3,753,1.0,1.0,0.07949177921257199,0.13610125308989562,0.24099537733568507,0,0,3,1.0,10
raw_ncc,affine,3.0,3,753,1.0,1.0,0.07949177921257199,0.13610125308989562,0.24099537733568507,0,0,3,1.0,10
raw_ncc,homography,0.5,3,753,0.99867197875166,0.9933598937583001,0.07949177921257199,0.5906886580480201,0.3365029424373901,0,0,2,0.6666666666666666,10
raw_ncc,homography,1.0,3,753,1.0,0.9960159362549801,0.07949177921257199,2.004464627119392,0.5015456638644182,0,0,2,0.6666666666666666,10
raw_ncc,homography,2.0,3,753,1.0,0.99867197875166,0.07949177921257199,0.5528756508205864,0.26271384473414333,0,0,2,0.6666666666666666,10
raw_ncc,homography,3.0,3,753,1.0,1.0,0.07949177921257199,0.09634323009315927,0.1546840992308442,0,0,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,translation,0.5,3,753,0.33200531208499334,0.3280212483399734,1.2839328787511461,0.14330874388243187,0.19879517205392186,3,3,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,translation,1.0,3,753,0.6932270916334662,0.6905710491367862,1.2839328787511461,0.11061321853513215,0.1793268264137736,3,3,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,translation,2.0,3,753,0.9243027888446215,0.9269588313413014,1.2839328787511461,0.1019927021376217,0.16339329285989745,3,3,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,translation,3.0,3,753,0.9721115537848606,0.9774236387782205,1.2839328787511461,0.13342368108350672,0.17247432099415985,3,3,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,affine,0.5,3,753,0.33200531208499334,0.32138114209827356,1.2839328787511461,2.037407098301656,1.3245465211366023,3,3,2,0.6666666666666666,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,affine,1.0,3,753,0.6932270916334662,0.6135458167330677,1.2839328787511461,0.6363561447965802,1.0251331590491035,3,3,2,0.6666666666666666,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,affine,2.0,3,753,0.9243027888446215,0.8911022576361222,1.2839328787511461,0.4901453817764989,0.7918662823161807,3,3,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,affine,3.0,3,753,0.9721115537848606,0.949535192563081,1.2839328787511461,0.7894768650233593,1.2316659420105862,3,3,3,1.0,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,homography,0.5,3,753,0.33200531208499334,0.3426294820717131,1.2839328787511461,1.4310438743677363,0.9003820497289934,2,3,2,0.6666666666666666,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,homography,1.0,3,753,0.6932270916334662,0.6560424966799469,1.2839328787511461,7.588239440806334,3.8616216848367286,2,3,2,0.6666666666666666,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,homography,2.0,3,753,0.9243027888446215,0.9229747675962815,1.2839328787511461,7.193448371430997,2.0068833402175343,3,3,2,0.6666666666666666,10
sobel_orientation_g16_b2_uniform_uniform_l1_r64,homography,3.0,3,753,0.9721115537848606,0.9800796812749004,1.2839328787511461,0.32036395380027693,0.48147253693271796,3,3,3,1.0,10
