method,method_label_cn,requested_pool_size,soft_ratio_bin,gcp_count,gcp_reuse_at_1,gcp_reuse_at_5,mrr,median_margin,candidate_coverage_5px
webp_q30_ncc,WebP Q30 + NCC,100,50-75%,148,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.4827621579170227,0.05405405405405406
webp_q30_ncc,WebP Q30 + NCC,500,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.46994322538375854,0.06756756756756757
webp_q30_ncc,WebP Q30 + NCC,1000,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.4366424083709717,0.06756756756756757
webp_q30_ncc,WebP Q30 + NCC,5000,50-75%,148,0.2635135135135135,0.2635135135135135,0.2635135135135135,0.4636884927749634,0.2635135135135135
webp_q30_ncc,WebP Q30 + NCC,100,>=75%,239,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.39149126410484314,0.07531380753138076
webp_q30_ncc,WebP Q30 + NCC,500,>=75%,239,0.15481171548117154,0.15481171548117154,0.15481171548117154,0.3731570243835449,0.15481171548117154
webp_q30_ncc,WebP Q30 + NCC,1000,>=75%,239,0.17573221757322174,0.1799163179916318,0.17656903765690377,0.3102452754974365,0.1799163179916318
webp_q30_ncc,WebP Q30 + NCC,5000,>=75%,239,0.2803347280334728,0.2803347280334728,0.28053397091053994,0.2924160063266754,0.28451882845188287
webp_q30_ncc,WebP Q30 + NCC,100,0-10%,3,0.0,0.0,0.0,,0.0
webp_q30_ncc,WebP Q30 + NCC,500,0-10%,3,0.0,0.0,0.0,,0.0
webp_q30_ncc,WebP Q30 + NCC,1000,0-10%,3,0.0,0.0,0.0,,0.0
webp_q30_ncc,WebP Q30 + NCC,5000,0-10%,3,0.0,0.0,0.0,,0.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.6515419185161591,0.02564102564102564
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.6245824694633484,0.038461538461538464
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.41538476943969727,0.07692307692307693
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,10-25%,78,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.27557194232940674,0.2692307692307692
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.6665222644805908,0.005050505050505051
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.503584086894989,0.025252525252525252
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.470409095287323,0.07575757575757576
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,25-50%,198,0.25757575757575757,0.26262626262626265,0.2601010101010101,0.4095444977283478,0.26262626262626265
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,50-75%,148,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.48235780000686646,0.05405405405405406
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.4654428958892822,0.06756756756756757
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.4302304685115814,0.06756756756756757
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,50-75%,148,0.2635135135135135,0.2635135135135135,0.2635135135135135,0.4530377984046936,0.2635135135135135
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,>=75%,239,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.3931078016757965,0.07531380753138076
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,>=75%,239,0.15481171548117154,0.15481171548117154,0.15481171548117154,0.36999213695526123,0.15481171548117154
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,>=75%,239,0.17573221757322174,0.1799163179916318,0.17656903765690377,0.3136403560638428,0.1799163179916318
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,>=75%,239,0.2803347280334728,0.2803347280334728,0.2804841601912732,0.29681113362312317,0.28451882845188287
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,0-10%,3,0.0,0.0,0.0,,0.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,0-10%,3,0.0,0.0,0.0,,0.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,0-10%,3,0.0,0.0,0.0,,0.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,0-10%,3,0.0,0.0,0.0,,0.0
compact_32B_rank_hamming,32 B Rank/Hamming,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.166015625,0.02564102564102564
compact_32B_rank_hamming,32 B Rank/Hamming,500,10-25%,78,0.02564102564102564,0.02564102564102564,0.025744416873449128,0.140625,0.038461538461538464
compact_32B_rank_hamming,32 B Rank/Hamming,1000,10-25%,78,0.038461538461538464,0.038461538461538464,0.039601480390954076,0.0546875,0.07692307692307693
compact_32B_rank_hamming,32 B Rank/Hamming,5000,10-25%,78,0.15384615384615385,0.15384615384615385,0.15474653595128196,0.05078125,0.2692307692307692
compact_32B_rank_hamming,32 B Rank/Hamming,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.1484375,0.005050505050505051
compact_32B_rank_hamming,32 B Rank/Hamming,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.140625,0.025252525252525252
compact_32B_rank_hamming,32 B Rank/Hamming,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.1171875,0.07575757575757576
compact_32B_rank_hamming,32 B Rank/Hamming,5000,25-50%,198,0.23232323232323232,0.2474747474747475,0.24029461279461278,0.08203125,0.26262626262626265
compact_32B_rank_hamming,32 B Rank/Hamming,100,50-75%,148,0.04054054054054054,0.0472972972972973,0.0444015444015444,0.107421875,0.05405405405405406
compact_32B_rank_hamming,32 B Rank/Hamming,500,50-75%,148,0.05405405405405406,0.060810810810810814,0.057548928238583416,0.09375,0.06756756756756757
compact_32B_rank_hamming,32 B Rank/Hamming,1000,50-75%,148,0.05405405405405406,0.060810810810810814,0.057548928238583416,0.083984375,0.06756756756756757
compact_32B_rank_hamming,32 B Rank/Hamming,5000,50-75%,148,0.22297297297297297,0.23648648648648649,0.2296028521829748,0.0859375,0.2635135135135135
compact_32B_rank_hamming,32 B Rank/Hamming,100,>=75%,239,0.06276150627615062,0.07531380753138076,0.06834030683403068,0.068359375,0.07531380753138076
compact_32B_rank_hamming,32 B Rank/Hamming,500,>=75%,239,0.13389121338912133,0.14644351464435146,0.13976435001539603,0.05859375,0.15481171548117154
compact_32B_rank_hamming,32 B Rank/Hamming,1000,>=75%,239,0.1506276150627615,0.16736401673640167,0.15847348431988537,0.04296875,0.1799163179916318
compact_32B_rank_hamming,32 B Rank/Hamming,5000,>=75%,239,0.20502092050209206,0.24267782426778242,0.22158969542108078,0.037109375,0.28451882845188287
compact_32B_rank_hamming,32 B Rank/Hamming,100,0-10%,3,0.0,0.0,0.0,,0.0
compact_32B_rank_hamming,32 B Rank/Hamming,500,0-10%,3,0.0,0.0,0.0,,0.0
compact_32B_rank_hamming,32 B Rank/Hamming,1000,0-10%,3,0.0,0.0,0.0,,0.0
compact_32B_rank_hamming,32 B Rank/Hamming,5000,0-10%,3,0.0,0.0,0.0,,0.0
compact_64B_orientation_l1,64 B 方向/L1,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.166666679084301,0.02564102564102564
compact_64B_orientation_l1,64 B 方向/L1,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.1575520932674408,0.038461538461538464
compact_64B_orientation_l1,64 B 方向/L1,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1451822780072689,0.07692307692307693
compact_64B_orientation_l1,64 B 方向/L1,5000,10-25%,78,0.2564102564102564,0.2692307692307692,0.26068376068376065,0.0794270783662796,0.2692307692307692
compact_64B_orientation_l1,64 B 方向/L1,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.1536458134651184,0.005050505050505051
compact_64B_orientation_l1,64 B 方向/L1,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.1393229067325592,0.025252525252525252
compact_64B_orientation_l1,64 B 方向/L1,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.1354166865348816,0.07575757575757576
compact_64B_orientation_l1,64 B 方向/L1,5000,25-50%,198,0.26262626262626265,0.26262626262626265,0.26262626262626265,0.1028645932674408,0.26262626262626265
compact_64B_orientation_l1,64 B 方向/L1,100,50-75%,148,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.11588539183139801,0.05405405405405406
compact_64B_orientation_l1,64 B 方向/L1,500,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.108723945915699,0.06756756756756757
compact_64B_orientation_l1,64 B 方向/L1,1000,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.0755208358168602,0.06756756756756757
compact_64B_orientation_l1,64 B 方向/L1,5000,50-75%,148,0.2635135135135135,0.2635135135135135,0.2635135135135135,0.1002604067325592,0.2635135135135135
compact_64B_orientation_l1,64 B 方向/L1,100,>=75%,239,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.1328125074505806,0.07531380753138076
compact_64B_orientation_l1,64 B 方向/L1,500,>=75%,239,0.15481171548117154,0.15481171548117154,0.15481171548117154,0.12109375,0.15481171548117154
compact_64B_orientation_l1,64 B 方向/L1,1000,>=75%,239,0.1799163179916318,0.1799163179916318,0.1799163179916318,0.11979168653488159,0.1799163179916318
compact_64B_orientation_l1,64 B 方向/L1,5000,>=75%,239,0.2803347280334728,0.28451882845188287,0.2824267782426778,0.1028645858168602,0.28451882845188287
compact_64B_orientation_l1,64 B 方向/L1,100,0-10%,3,0.0,0.0,0.0,,0.0
compact_64B_orientation_l1,64 B 方向/L1,500,0-10%,3,0.0,0.0,0.0,,0.0
compact_64B_orientation_l1,64 B 方向/L1,1000,0-10%,3,0.0,0.0,0.0,,0.0
compact_64B_orientation_l1,64 B 方向/L1,5000,0-10%,3,0.0,0.0,0.0,,0.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.2825024425983429,0.02564102564102564
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,10-25%,78,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.26392962038517,0.038461538461538464
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,10-25%,78,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.19452589005231857,0.07692307692307693
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,10-25%,78,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.16129031777381897,0.2692307692307692
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,25-50%,198,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.27272728085517883,0.005050505050505051
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,25-50%,198,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.2629520893096924,0.025252525252525252
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,25-50%,198,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.25904202461242676,0.07575757575757576
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,25-50%,198,0.26262626262626265,0.26262626262626265,0.26262626262626265,0.2189638391137123,0.26262626262626265
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,50-75%,148,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.17790810763835907,0.05405405405405406
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.17693059146404266,0.06756756756756757
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,50-75%,148,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.17693059146404266,0.06756756756756757
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,50-75%,148,0.2635135135135135,0.2635135135135135,0.2635135135135135,0.22482892870903015,0.2635135135135135
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,>=75%,239,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.19305962324142456,0.07531380753138076
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,>=75%,239,0.15481171548117154,0.15481171548117154,0.15481171548117154,0.18768328428268433,0.15481171548117154
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,>=75%,239,0.1799163179916318,0.1799163179916318,0.1799163179916318,0.17399802803993225,0.1799163179916318
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,>=75%,239,0.28451882845188287,0.28451882845188287,0.28451882845188287,0.1656891405582428,0.28451882845188287
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,0-10%,3,0.0,0.0,0.0,,0.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,0-10%,3,0.0,0.0,0.0,,0.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,0-10%,3,0.0,0.0,0.0,,0.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,0-10%,3,0.0,0.0,0.0,,0.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,10-25%,78,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.283203125,0.02564102564102564
