method,method_label_cn,candidate_pool_size,target_year,attempted_gcps,true_candidate_available_count,candidate_coverage_rate_2px,candidate_coverage_rate_5px,candidate_coverage_rate_10px,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,conditional_reuse_at_1,conditional_reuse_at_5,mean_rank,median_rank,mrr,conditional_mrr,median_margin,p10_margin,p50_margin,p90_margin,reuse_failure_rate,catastrophic_wrong_match_rate,bytes_per_gcp_mean,bytes_per_gcp_median,compression_ratio_mean,median_normalized_margin,p10_normalized_margin,p90_normalized_margin
compact_32B_rank_hamming,32 B Rank/Hamming,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0744680851063829,0.076595744680851,0.076595744680851,0.875,0.9,9.575,1.0,0.075779265466003,0.8904063692255353,0.08984375,-0.0023437499999999,0.08984375,0.153125,0.925531914893617,0.0106382978723404,32.0,32.0,2048.0,0.33880825057153097,-0.005504587155950355,0.7788888888825796
compact_32B_rank_hamming,32 B Rank/Hamming,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.1744680851063829,0.1893617021276595,0.1914893617021276,0.8118811881188119,0.8811881188118812,61.01980198019802,1.0,0.1820325815714078,0.847082310282789,0.08203125,-0.046875,0.08203125,0.16796875,0.825531914893617,0.0404255319148936,32.0,32.0,2048.0,0.31168831168727545,-0.11009174311900749,0.81818181817801
compact_64B_orientation_l1,64 B 方向/L1,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,1.0,1.0,1.0,1.0,0.0297872340425531,1.0,0.139973945915699,0.0833333298563957,0.139973945915699,0.1789062693715095,0.9702127659574468,0.0,64.0,64.0,1024.0,0.8674882741111618,0.3459459322015689,1.3325300615368503
compact_64B_orientation_l1,64 B 方向/L1,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0595744680851063,0.0595744680851063,0.0595744680851063,1.0,1.0,1.0,1.0,0.0595744680851063,1.0,0.1360677070915699,0.071093763411045,0.1360677070915699,0.1761718891561031,0.9404255319148936,0.0,64.0,64.0,1024.0,0.9218294820359653,0.3053098789966164,1.5900795563684293
compact_64B_orientation_l1,64 B 方向/L1,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0851063829787234,0.0851063829787234,0.0851063829787234,1.0,1.0,1.0,1.0,0.0851063829787234,1.0,0.1204427182674408,0.0628906354308128,0.1204427182674408,0.1617187656462192,0.9148936170212766,0.0,64.0,64.0,1024.0,0.7924075797793672,0.27032433166549247,1.4117787995740367
compact_64B_orientation_l1,64 B 方向/L1,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.2127659574468085,0.2148936170212766,0.2148936170212766,0.99009900990099,1.0,1.00990099009901,1.0,0.2138297872340425,0.995049504950495,0.1080729067325592,0.046875,0.1080729067325592,0.1666666567325592,0.7872340425531915,0.002127659574468,64.0,64.0,1024.0,0.7281552556605907,0.24309387025281617,1.4222222377514442
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,1.0,1.0,1.0,1.0,0.0297872340425531,1.0,0.2003910094499588,0.1226783990859985,0.2003910094499588,0.2601173087954521,0.9702127659574468,0.0,128.0,128.0,512.0,0.770732909099022,0.3642620818237221,1.3360034128623008
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0595744680851063,0.0595744680851063,0.0595744680851063,1.0,1.0,1.0,1.0,0.0595744680851063,1.0,0.1959921792149543,0.1007819980382919,0.1959921792149543,0.2650048822164536,0.9404255319148936,0.0,128.0,128.0,512.0,0.7604535050860817,0.2916525996490243,1.4041263907347583
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0851063829787234,0.0851063829787234,0.0851063829787234,1.0,1.0,1.0,1.0,0.0851063829787234,1.0,0.1979472041130066,0.1037145555019378,0.1979472041130066,0.2671554118394851,0.9148936170212766,0.0,128.0,128.0,512.0,0.7972867767212537,0.3035000645351698,1.4517000635639894
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.2148936170212766,0.2148936170212766,0.2148936170212766,1.0,1.0,1.0,1.0,0.2148936170212766,1.0,0.2091886550188064,0.0918866097927093,0.2091886550188064,0.2668621689081192,0.7851063829787234,0.0,128.0,128.0,512.0,0.8852458842245807,0.26330533097907055,1.611764640466355
