method,method_label_cn,candidate_pool_size,target_year,paired_gcp_count,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,mrr,candidate_coverage_rate_5px
compact_32B_rank_hamming,32 B Rank/Hamming,500,2025,194,0.10824742268041238,0.1134020618556701,0.1134020618556701,0.11120064403638363,0.12886597938144329
compact_32B_rank_hamming,32 B Rank/Hamming,1000,2025,194,0.13917525773195877,0.14432989690721648,0.14432989690721648,0.14198364019377752,0.15979381443298968
compact_32B_rank_hamming,32 B Rank/Hamming,5000,2025,194,0.30412371134020616,0.33505154639175255,0.3402061855670103,0.3195518029201491,0.37628865979381443
compact_64B_orientation_l1,64 B 方向/L1,100,2025,194,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051
compact_64B_orientation_l1,64 B 方向/L1,500,2025,194,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329
compact_64B_orientation_l1,64 B 方向/L1,1000,2025,194,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968
compact_64B_orientation_l1,64 B 方向/L1,5000,2025,194,0.3711340206185567,0.37628865979381443,0.37628865979381443,0.37371134020618557,0.37628865979381443
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,100,2025,194,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,500,2025,194,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,1000,2025,194,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,5000,2025,194,0.37628865979381443,0.37628865979381443,0.37628865979381443,0.37628865979381443,0.37628865979381443
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,100,2025,194,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051,0.06701030927835051
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,500,2025,194,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,1000,2025,194,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968,0.15979381443298968
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,5000,2025,194,0.37628865979381443,0.37628865979381443,0.37628865979381443,0.37628865979381443,0.37628865979381443
median_binary_32B_hamming,32 B 中值二值基线,100,2025,194,0.05670103092783505,0.06701030927835051,0.06701030927835051,0.06099656357388317,0.06701030927835051
median_binary_32B_hamming,32 B 中值二值基线,500,2025,194,0.10309278350515463,0.10824742268041238,0.1134020618556701,0.10695374564271666,0.12886597938144329
median_binary_32B_hamming,32 B 中值二值基线,1000,2025,194,0.12371134020618557,0.12886597938144329,0.13402061855670103,0.1282627671499715,0.15979381443298968
median_binary_32B_hamming,32 B 中值二值基线,5000,2025,194,0.32989690721649484,0.34536082474226804,0.34536082474226804,0.33844433202068475,0.37628865979381443
raw_ncc,原始灰度 NCC,100,2026,194,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824
raw_ncc,原始灰度 NCC,500,2026,194,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103
raw_ncc,原始灰度 NCC,1000,2026,194,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516
raw_ncc,原始灰度 NCC,5000,2026,194,0.39690721649484534,0.4020618556701031,0.4020618556701031,0.39948453608247425,0.4020618556701031
webp_q30_ncc,WebP Q30 + NCC,100,2026,194,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824
webp_q30_ncc,WebP Q30 + NCC,500,2026,194,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103,0.13402061855670103
webp_q30_ncc,WebP Q30 + NCC,1000,2026,194,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516,0.17010309278350516
