method,method_label_cn,model,threshold_px,attempted_gcps,ransac_eligible_gcps,ransac_ineligible_gcps,raw_reuse_at_1,verified_gcp_count,geometrically_verified_reuse_rate,wrong_matches_rejected,wrong_matches_retained,geometry_reprojection_rmse_px,scene_count,global_denominator_includes_noneligible_scenes,ransac_used_for_candidate_ranking
compact_64B_orientation_l1,64 B 方向/L1,affine,0.5,666,655,11,0.1111111111111111,21,0.03153153153153153,583,3,2529.5560985047027,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,affine,1.0,666,655,11,0.1111111111111111,39,0.05855855855855856,583,3,2529.2935171842323,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,affine,2.0,666,655,11,0.1111111111111111,50,0.07507507507507508,583,3,2529.3115117814273,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,affine,3.0,666,655,11,0.1111111111111111,54,0.08108108108108109,583,3,2529.519585864473,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,homography,0.5,666,655,11,0.1111111111111111,2,0.003003003003003003,512,74,2849.834939571427,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,homography,1.0,666,655,11,0.1111111111111111,21,0.03153153153153153,526,60,1505.6735445595386,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,homography,2.0,666,655,11,0.1111111111111111,43,0.06456456456456457,527,59,1515.640667437057,4,True,False
compact_64B_orientation_l1,64 B 方向/L1,homography,3.0,666,655,11,0.1111111111111111,46,0.06906906906906907,526,60,1516.8029664545425,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,translation,0.5,666,655,11,0.1111111111111111,0,0.0,586,0,253.3914826436006,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,translation,1.0,666,655,11,0.1111111111111111,0,0.0,586,0,253.3914826436006,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,translation,2.0,666,655,11,0.1111111111111111,0,0.0,586,0,253.3914826436006,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,translation,3.0,666,655,11,0.1111111111111111,0,0.0,586,0,253.3914826436006,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,affine,0.5,666,655,11,0.1111111111111111,16,0.024024024024024024,580,6,5445.1292272036735,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,affine,1.0,666,655,11,0.1111111111111111,34,0.05105105105105105,580,6,5444.866645883202,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,affine,2.0,666,655,11,0.1111111111111111,43,0.06456456456456457,580,6,5444.890637912029,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,affine,3.0,666,655,11,0.1111111111111111,46,0.06906906906906907,579,7,2393.053906293446,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,homography,0.5,666,655,11,0.1111111111111111,16,0.024024024024024024,579,7,7576.640094186754,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,homography,1.0,666,655,11,0.1111111111111111,20,0.03003003003003003,578,8,1953.9102197650695,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,homography,2.0,666,655,11,0.1111111111111111,42,0.06306306306306306,578,8,1952.8443692013743,4,True,False
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,homography,3.0,666,655,11,0.1111111111111111,44,0.06606606606606606,578,8,2005.8029883327038,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,translation,0.5,666,655,11,0.1111111111111111,0,0.0,586,0,1212.385104273415,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,translation,1.0,666,655,11,0.1111111111111111,10,0.015015015015015015,586,0,1211.9867540596813,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,translation,2.0,666,655,11,0.1111111111111111,32,0.04804804804804805,586,0,1211.851117376946,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,translation,3.0,666,655,11,0.1111111111111111,42,0.06306306306306306,586,0,1211.851117376946,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,affine,0.5,666,655,11,0.1111111111111111,16,0.024024024024024024,580,6,4607.874324490081,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,affine,1.0,666,655,11,0.1111111111111111,34,0.05105105105105105,580,6,4607.61174316961,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,affine,2.0,666,655,11,0.1111111111111111,43,0.06456456456456457,579,7,3719.569703164653,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,affine,3.0,666,655,11,0.1111111111111111,46,0.06906906906906907,579,7,3719.8184922876503,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,homography,0.5,666,655,11,0.1111111111111111,14,0.021021021021021023,574,12,2137.9010221334183,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,homography,1.0,666,655,11,0.1111111111111111,16,0.024024024024024024,572,14,2141.0569659305784,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,homography,2.0,666,655,11,0.1111111111111111,41,0.06156156156156156,575,11,2138.6089153348153,4,True,False
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,homography,3.0,666,655,11,0.1111111111111111,43,0.06456456456456457,575,11,2131.710087011378,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,translation,0.5,666,655,11,0.0915915915915916,0,0.0,598,0,754.0957893441467,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,translation,1.0,666,655,11,0.0915915915915916,0,0.0,598,0,754.0957893441467,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,translation,2.0,666,655,11,0.0915915915915916,2,0.003003003003003003,598,0,753.6468861619447,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,translation,3.0,666,655,11,0.0915915915915916,12,0.018018018018018018,598,0,752.7859382571751,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,affine,0.5,666,655,11,0.0915915915915916,14,0.021021021021021023,592,6,1803.39748455248,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,affine,1.0,666,655,11,0.0915915915915916,31,0.046546546546546545,592,6,1802.6362700845432,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,affine,2.0,666,655,11,0.0915915915915916,38,0.057057057057057055,591,7,1639.7118192555404,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,affine,3.0,666,655,11,0.0915915915915916,40,0.06006006006006006,590,8,2137.0771440668623,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,homography,0.5,666,655,11,0.0915915915915916,13,0.01951951951951952,588,10,1460.6198590547613,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,homography,1.0,666,655,11,0.0915915915915916,17,0.025525525525525526,590,8,3762.248407412035,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,homography,2.0,666,655,11,0.0915915915915916,31,0.046546546546546545,589,9,2141.425263488181,4,True,False
median_binary_32B_hamming,32 B 中值二值基线,homography,3.0,666,655,11,0.0915915915915916,36,0.05405405405405406,589,9,3508.830963974315,4,True,False
